"id","timestamp","age","sex","location","feedback"
"CS-2026-0020","2026-01-12 10:08:11",32,"Male","Beau Vallon","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0021","2026-01-13 10:57:44",42,"Male","Glacis","Thank you for the prompt and helpful assistance. The officer went out of their way to help me."
"CS-2026-0022","2026-01-14 15:16:20",28,"Male","Roche Caiman","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0023","2026-01-14 15:57:27",43,"Male","Takamaka","After queueing for two hours I was told I was in the wrong line. Nobody bothered to inform us earlier."
"CS-2026-0024","2026-01-15 12:43:25",27,"Female","Beau Vallon","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0025","2026-01-16 09:41:27",46,"Female","Anse Boileau","My appointment was cancelled last minute with no explanation and no apology. Terrible customer care."
"CS-2026-0026","2026-01-16 10:49:15",43,"Female","Plaisance","I was passed from one desk to another with no clear answer. Completely disorganised and inefficient."
"CS-2026-0027","2026-01-16 16:14:59",50,"Male","Mont Buxton","I just wanted to note the time and location of my visit for my own records. No issue to report."
"CS-2026-0028","2026-01-16 11:14:27",32,"Male","Port Glaud","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0029","2026-01-19 15:29:42",35,"Female","Anse Royale","Neutral feedback: I visited to ask a routine question and received a clear, adequate answer."
"CS-2026-0030","2026-01-19 08:36:33",40,"Female","Anse Royale","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0031","2026-01-20 13:58:40",47,"Female","Baie Sainte Anne","The counter closed early without any notice while dozens of us were still waiting. Very poor service."
"CS-2026-0032","2026-01-20 14:48:19",36,"Female","English River","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0033","2026-01-22 08:05:54",41,"Male","Takamaka","Thank you for the prompt and helpful assistance. The officer went out of their way to help me."
"CS-2026-0034","2026-01-22 11:12:22",45,"Male","Grand Anse Praslin","I took a day off work only to be told the system was down. No apology, no alternative. Infuriating."
"CS-2026-0035","2026-01-26 10:20:40",30,"Female","Pointe Larue","The toilets were filthy, the air conditioning was broken, and staff did not care. A miserable experience."
"CS-2026-0036","2026-01-26 10:10:32",40,"Female","Port Glaud","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0037","2026-01-26 08:57:06",54,"Male","La Digue","After queueing for two hours I was told I was in the wrong line. Nobody bothered to inform us earlier."
"CS-2026-0038","2026-01-26 12:09:38",38,"Male","Baie Sainte Anne","The online system kept crashing and the help desk simply told me to try again later. Useless."
"CS-2026-0039","2026-01-26 08:16:49",40,"Male","Grand Anse Mahe","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0040","2026-01-26 15:02:30",49,"Male","English River","Hours of waiting and then they closed the window right in front of me. Disgraceful treatment."
"CS-2026-0041","2026-01-27 08:33:25",71,"Female","Pointe Larue","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0042","2026-01-27 10:46:36",18,"Male","Anse Boileau","The officer was abrupt, unfriendly and clearly wanted me gone as fast as possible. Very rude."
"CS-2026-0043","2026-01-27 09:06:15",35,"Male","Takamaka","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0044","2026-01-27 15:39:18",49,"Female","Bel Ombre","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0045","2026-01-27 15:30:09",29,"Female","Roche Caiman","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0046","2026-01-28 10:12:41",49,"Female","Cascade","I called ten times and each time I was put on hold and then disconnected. Utterly frustrating."
"CS-2026-0047","2026-01-28 12:25:08",22,"Male","Grand Anse Praslin","The online system kept crashing and the help desk simply told me to try again later. Useless."
"CS-2026-0048","2026-01-28 16:27:01",55,"Female","Baie Lazare","The officer lost patience with an elderly woman and was openly disrespectful. I was appalled."
"CS-2026-0049","2026-01-28 14:51:43",61,"Male","Anse Boileau","The service was slow, the staff were unfriendly, and my problem is still unresolved. Deeply disappointed."
"CS-2026-0050","2026-01-28 13:18:27",39,"Female","Saint Louis","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0051","2026-01-29 08:49:40",56,"Male","Saint Louis","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0052","2026-01-29 09:19:39",30,"Female","Plaisance","The online system kept crashing and the help desk simply told me to try again later. Useless."
"CS-2026-0053","2026-01-29 12:29:03",26,"Female","Baie Lazare","My appointment was cancelled last minute with no explanation and no apology. Terrible customer care."
"CS-2026-0054","2026-01-29 09:06:25",51,"Male","Saint Louis","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0055","2026-01-29 14:47:57",24,"Male","Roche Caiman","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0056","2026-01-29 09:43:06",37,"Female","English River","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0057","2026-01-29 15:38:31",47,"Female","Saint Louis","I called ten times and each time I was put on hold and then disconnected. Utterly frustrating."
"CS-2026-0058","2026-01-30 13:20:24",50,"Female","Pointe Larue","Neutral feedback: I visited to ask a routine question and received a clear, adequate answer."
"CS-2026-0059","2026-01-30 10:12:46",49,"Female","Plaisance","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0060","2026-02-02 11:57:13",42,"Male","Plaisance","They lost my paperwork and blamed me for it. Disgraceful handling of a citizen's documents."
"CS-2026-0061","2026-02-02 13:59:02",53,"Male","Bel Ombre","The counter closed early without any notice while dozens of us were still waiting. Very poor service."
"CS-2026-0062","2026-02-02 08:16:11",47,"Female","Pointe Larue","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0063","2026-02-02 12:05:25",65,"Male","Glacis","Very satisfied with the helpful staff and the fast, well-organised process. Highly appreciated."
"CS-2026-0064","2026-02-02 16:04:12",42,"Male","Plaisance","I was overcharged and when I complained they refused to explain the fees. Dishonest and unhelpful."
"CS-2026-0065","2026-02-02 15:37:47",36,"Male","Port Glaud","The service was slow, the staff were unfriendly, and my problem is still unresolved. Deeply disappointed."
"CS-2026-0066","2026-02-03 11:21:36",41,"Female","Pointe Larue","My case has been pending for weeks with no updates. Every follow-up is met with excuses and delays."
"CS-2026-0067","2026-02-03 09:44:25",31,"Female","Anse Royale","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0068","2026-02-03 10:14:03",58,"Male","Anse Etoile","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0069","2026-02-03 10:20:40",40,"Female","Takamaka","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0070","2026-02-03 14:04:09",50,"Female","Takamaka","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0071","2026-02-04 11:04:43",42,"Female","Grand Anse Praslin","My complaint from last month was never even acknowledged. This office does not care about the public."
"CS-2026-0072","2026-02-04 11:00:20",47,"Female","Au Cap","The officer was abrupt, unfriendly and clearly wanted me gone as fast as possible. Very rude."
"CS-2026-0073","2026-02-04 10:16:39",23,"Male","Roche Caiman","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0074","2026-02-05 11:14:45",18,"Male","Takamaka","The staff gave me incorrect directions and I ended up wasting hours. Careless and unhelpful."
"CS-2026-0075","2026-02-05 11:58:12",54,"Male","Grand Anse Praslin","They lost my paperwork and blamed me for it. Disgraceful handling of a citizen's documents."
"CS-2026-0076","2026-02-06 12:51:35",28,"Female","Port Glaud","My appointment was cancelled last minute with no explanation and no apology. Terrible customer care."
"CS-2026-0077","2026-02-06 12:49:23",53,"Female","Anse Boileau","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0078","2026-02-09 09:34:46",56,"Male","Port Glaud","Hours of waiting and then they closed the window right in front of me. Disgraceful treatment."
"CS-2026-0079","2026-02-09 10:49:53",40,"Female","English River","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0080","2026-02-09 08:13:27",31,"Male","Bel Ombre","The receptionist was dismissive and rolled her eyes at my questions. Extremely unprofessional."
"CS-2026-0081","2026-02-09 09:16:38",49,"Male","Anse Royale","The information they gave me was wrong and I had to redo everything. Incompetent and careless."
"CS-2026-0082","2026-02-09 15:14:04",41,"Female","Les Mamelles","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0083","2026-02-09 15:56:37",70,"Female","La Digue","The officer was patient and clearly explained everything. A pleasant and efficient experience."
"CS-2026-0084","2026-02-10 13:14:39",31,"Female","Anse Royale","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0085","2026-02-11 08:46:48",51,"Male","Saint Louis","I took a day off work only to be told the system was down. No apology, no alternative. Infuriating."
"CS-2026-0086","2026-02-11 09:01:51",32,"Male","Baie Lazare","I called ten times and each time I was put on hold and then disconnected. Utterly frustrating."
"CS-2026-0087","2026-02-12 16:29:48",40,"Male","Plaisance","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0088","2026-02-12 15:49:31",53,"Female","La Digue","I was shouted at for standing in the wrong spot when there were no signs anywhere. Outrageous."
"CS-2026-0089","2026-02-13 12:02:38",69,"Female","Au Cap","The staff gave me incorrect directions and I ended up wasting hours. Careless and unhelpful."
"CS-2026-0090","2026-02-16 08:54:07",57,"Male","Grand Anse Praslin","I was shouted at for standing in the wrong spot when there were no signs anywhere. Outrageous."
"CS-2026-0091","2026-02-16 16:03:21",38,"Male","Roche Caiman","My complaint from last month was never even acknowledged. This office does not care about the public."
"CS-2026-0092","2026-02-16 15:03:22",25,"Female","Cascade","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0093","2026-02-16 09:46:26",57,"Female","Glacis","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0094","2026-02-16 15:59:29",18,"Female","Mont Buxton","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0095","2026-02-16 08:45:32",43,"Female","Anse Boileau","I was passed from one desk to another with no clear answer. Completely disorganised and inefficient."
"CS-2026-0096","2026-02-16 13:45:35",53,"Female","Glacis","I was overcharged and when I complained they refused to explain the fees. Dishonest and unhelpful."
"CS-2026-0097","2026-02-17 10:41:00",59,"Female","Pointe Larue","I took a day off work only to be told the system was down. No apology, no alternative. Infuriating."
"CS-2026-0098","2026-02-18 13:53:22",40,"Male","Les Mamelles","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0099","2026-02-18 10:45:15",51,"Female","Anse Etoile","There was no clear signage and no one to guide us. I wasted an entire morning going in circles."
"CS-2026-0100","2026-02-18 14:50:03",31,"Male","Anse Boileau","The counter closed early without any notice while dozens of us were still waiting. Very poor service."
"CS-2026-0101","2026-02-18 09:18:54",53,"Female","Anse Boileau","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0102","2026-02-18 12:09:18",39,"Female","Bel Air","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0103","2026-02-18 14:51:15",18,"Male","Anse Etoile","There was no clear signage and no one to guide us. I wasted an entire morning going in circles."
"CS-2026-0104","2026-02-19 15:31:08",30,"Male","Saint Louis","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0105","2026-02-19 15:36:33",39,"Female","Les Mamelles","The toilets were filthy, the air conditioning was broken, and staff did not care. A miserable experience."
"CS-2026-0106","2026-02-23 09:44:08",40,"Male","Anse Boileau","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0107","2026-02-23 09:31:02",67,"Male","Mont Buxton","The information they gave me was wrong and I had to redo everything. Incompetent and careless."
"CS-2026-0108","2026-02-23 13:02:05",43,"Male","Grand Anse Mahe","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0109","2026-02-23 12:04:48",50,"Male","Les Mamelles","The officer was abrupt, unfriendly and clearly wanted me gone as fast as possible. Very rude."
"CS-2026-0110","2026-02-23 16:29:19",34,"Male","Glacis","The front desk was welcoming and my paperwork was processed without any delay. Excellent job."
"CS-2026-0111","2026-02-23 10:22:41",26,"Female","Anse Royale","The officer was patient and clearly explained everything. A pleasant and efficient experience."
"CS-2026-0112","2026-02-23 11:21:59",38,"Male","Baie Sainte Anne","They lost my paperwork and blamed me for it. Disgraceful handling of a citizen's documents."
"CS-2026-0113","2026-02-23 08:26:47",18,"Male","Grand Anse Praslin","I took a day off work only to be told the system was down. No apology, no alternative. Infuriating."
"CS-2026-0114","2026-02-24 15:44:24",18,"Female","Anse aux Pins","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0115","2026-02-24 12:35:19",55,"Female","Plaisance","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0116","2026-02-24 13:36:50",55,"Male","Anse Etoile","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0117","2026-02-24 10:57:10",35,"Female","Baie Lazare","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0118","2026-02-25 12:53:23",39,"Female","Baie Lazare","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0119","2026-02-25 11:55:15",46,"Male","Anse Royale","The staff were friendly and helpful, and my request was handled quickly. Excellent service, thank you!"
"CS-2026-0120","2026-02-26 13:49:10",29,"Female","Pointe Larue","I was passed from one desk to another with no clear answer. Completely disorganised and inefficient."
"CS-2026-0121","2026-02-27 11:15:22",64,"Male","Takamaka","Very satisfied with the helpful staff and the fast, well-organised process. Highly appreciated."
"CS-2026-0122","2026-02-27 14:12:57",44,"Male","Takamaka","They demanded documents that were never mentioned before, forcing me to come back yet again. Ridiculous."
"CS-2026-0123","2026-02-27 14:03:24",36,"Female","La Digue","They kept losing track of my file and asked me to resubmit the same documents three times. Hopeless."
"CS-2026-0124","2026-02-27 16:29:34",50,"Female","English River","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0125","2026-03-02 09:31:54",29,"Male","Mont Buxton","I was overcharged and when I complained they refused to explain the fees. Dishonest and unhelpful."
"CS-2026-0126","2026-03-02 12:40:19",33,"Male","La Riviere Anglaise","My complaint from last month was never even acknowledged. This office does not care about the public."
"CS-2026-0127","2026-03-02 08:25:29",35,"Female","Bel Air","The service was slow, the staff were unfriendly, and my problem is still unresolved. Deeply disappointed."
"CS-2026-0128","2026-03-02 11:03:48",49,"Female","Takamaka","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0129","2026-03-02 11:57:43",40,"Female","Les Mamelles","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0130","2026-03-02 10:14:10",36,"Female","Beau Vallon","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0131","2026-03-02 16:28:12",61,"Female","Roche Caiman","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0132","2026-03-02 09:47:30",52,"Male","Les Mamelles","The information they gave me was wrong and I had to redo everything. Incompetent and careless."
"CS-2026-0133","2026-03-04 13:35:13",49,"Female","Beau Vallon","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0134","2026-03-04 16:19:17",59,"Male","English River","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0135","2026-03-05 15:50:30",35,"Female","Grand Anse Praslin","I have come back four times now and my request is still not processed. This is a terrible waste of my time."
"CS-2026-0136","2026-03-05 15:47:48",38,"Male","La Digue","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0137","2026-03-05 10:15:53",58,"Male","Au Cap","Impressed by the professionalism and courtesy of the officer who assisted me. Thank you very much."
"CS-2026-0138","2026-03-06 09:15:05",47,"Male","Baie Sainte Anne","The waiting area was overcrowded and the staff kept disappearing on long breaks. Shameful."
"CS-2026-0139","2026-03-06 15:17:10",35,"Female","Mont Buxton","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0140","2026-03-09 13:27:05",54,"Female","Saint Louis","The staff were friendly and helpful, and my request was handled quickly. Excellent service, thank you!"
"CS-2026-0141","2026-03-09 09:59:52",46,"Female","Baie Lazare","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0142","2026-03-09 14:03:22",47,"Female","Mont Buxton","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0143","2026-03-09 11:47:19",41,"Female","Bel Ombre","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0144","2026-03-09 10:59:16",41,"Female","Pointe Larue","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0145","2026-03-09 12:18:02",27,"Male","Anse Royale","I was overcharged and when I complained they refused to explain the fees. Dishonest and unhelpful."
"CS-2026-0146","2026-03-09 16:15:49",33,"Male","Port Glaud","The information they gave me was wrong and I had to redo everything. Incompetent and careless."
"CS-2026-0147","2026-03-11 11:21:24",39,"Male","Anse Royale","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0148","2026-03-11 12:12:37",65,"Male","Pointe Larue","There was no clear signage and no one to guide us. I wasted an entire morning going in circles."
"CS-2026-0149","2026-03-12 09:46:05",46,"Male","Baie Lazare","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0150","2026-03-12 12:01:50",30,"Female","Anse Royale","Impressed by the professionalism and courtesy of the officer who assisted me. Thank you very much."
"CS-2026-0151","2026-03-16 11:45:38",18,"Female","English River","My appointment was cancelled last minute with no explanation and no apology. Terrible customer care."
"CS-2026-0152","2026-03-16 10:22:41",27,"Female","Beau Vallon","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0153","2026-03-16 14:43:09",39,"Female","Baie Lazare","They kept losing track of my file and asked me to resubmit the same documents three times. Hopeless."
"CS-2026-0154","2026-03-16 15:01:17",70,"Female","Anse aux Pins","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0155","2026-03-16 10:01:44",41,"Female","La Digue","The officer was abrupt, unfriendly and clearly wanted me gone as fast as possible. Very rude."
"CS-2026-0156","2026-03-16 15:12:06",45,"Female","Les Mamelles","The counter closed early without any notice while dozens of us were still waiting. Very poor service."
"CS-2026-0157","2026-03-16 08:36:01",18,"Male","Bel Ombre","I called ten times and each time I was put on hold and then disconnected. Utterly frustrating."
"CS-2026-0158","2026-03-16 11:54:31",43,"Female","Mont Fleuri","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0159","2026-03-16 10:16:33",51,"Female","La Riviere Anglaise","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0160","2026-03-16 12:39:39",38,"Female","Plaisance","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0161","2026-03-17 14:28:27",34,"Male","Port Glaud","Thank you for the prompt and helpful assistance. The officer went out of their way to help me."
"CS-2026-0162","2026-03-18 16:13:06",54,"Female","Takamaka","The online system kept crashing and the help desk simply told me to try again later. Useless."
"CS-2026-0163","2026-03-19 14:25:49",29,"Female","Bel Air","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0164","2026-03-19 16:00:26",39,"Female","Baie Lazare","I was shouted at for standing in the wrong spot when there were no signs anywhere. Outrageous."
"CS-2026-0165","2026-03-20 14:05:42",35,"Female","Mont Fleuri","My case has been pending for weeks with no updates. Every follow-up is met with excuses and delays."
"CS-2026-0166","2026-03-20 10:53:19",18,"Male","Bel Ombre","Neutral feedback: I visited to ask a routine question and received a clear, adequate answer."
"CS-2026-0167","2026-03-20 15:23:28",32,"Male","La Riviere Anglaise","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0168","2026-03-20 15:00:51",18,"Male","Takamaka","I was pleasantly surprised by how efficient and professional the officer was. Very satisfied."
"CS-2026-0169","2026-03-20 13:56:00",49,"Male","Grand Anse Mahe","Impressed by the professionalism and courtesy of the officer who assisted me. Thank you very much."
"CS-2026-0170","2026-03-23 10:55:33",35,"Female","Les Mamelles","Great experience overall. The queue moved smoothly and everyone was courteous and kind."
"CS-2026-0171","2026-03-23 15:32:10",29,"Female","Beau Vallon","The service was smooth and the staff were polite and well organised. I appreciate the good work."
"CS-2026-0172","2026-03-23 09:14:22",39,"Male","Anse aux Pins","I was passed from one desk to another with no clear answer. Completely disorganised and inefficient."
"CS-2026-0173","2026-03-23 08:50:26",43,"Female","Mont Fleuri","The staff gave me incorrect directions and I ended up wasting hours. Careless and unhelpful."
"CS-2026-0174","2026-03-23 09:34:09",38,"Female","Baie Sainte Anne","I felt completely ignored. The staff avoided eye contact and pretended not to see the queue growing."
"CS-2026-0175","2026-03-23 13:09:57",52,"Male","Anse aux Pins","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0176","2026-03-23 14:42:55",40,"Female","Baie Sainte Anne","My appointment was cancelled last minute with no explanation and no apology. Terrible customer care."
"CS-2026-0177","2026-03-23 11:16:39",57,"Male","Pointe Larue","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0178","2026-03-23 09:29:29",30,"Female","Beau Vallon","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0179","2026-03-24 09:53:14",47,"Female","Les Mamelles","Neutral feedback: I visited to ask a routine question and received a clear, adequate answer."
"CS-2026-0180","2026-03-24 12:47:06",29,"Female","Saint Louis","The toilets were filthy, the air conditioning was broken, and staff did not care. A miserable experience."
"CS-2026-0181","2026-03-25 12:36:22",68,"Female","English River","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0182","2026-03-26 11:10:50",48,"Female","Takamaka","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0183","2026-03-27 15:08:21",48,"Male","Cascade","I was shouted at for standing in the wrong spot when there were no signs anywhere. Outrageous."
"CS-2026-0184","2026-03-27 12:55:34",43,"Male","Bel Ombre","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0185","2026-03-30 14:59:39",18,"Male","Bel Ombre","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0186","2026-03-30 15:17:33",42,"Female","La Riviere Anglaise","The officer lost patience with an elderly woman and was openly disrespectful. I was appalled."
"CS-2026-0187","2026-03-30 09:24:05",48,"Female","Mont Fleuri","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0188","2026-03-30 14:13:57",44,"Female","Baie Lazare","Staff were chatting among themselves and ignored the long line of people waiting. Unprofessional."
"CS-2026-0189","2026-03-30 09:26:12",23,"Male","Anse Royale","The officer was unhelpful and made me feel like a nuisance. Worst experience I have had with this office."
"CS-2026-0190","2026-03-30 12:19:54",41,"Female","Grand Anse Praslin","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0191","2026-03-30 11:33:16",52,"Female","Au Cap","Hours of waiting and then they closed the window right in front of me. Disgraceful treatment."
"CS-2026-0192","2026-03-30 10:50:44",26,"Male","Beau Vallon","The parking was a nightmare and inside it was chaos with no proper queue system. Badly managed."
"CS-2026-0193","2026-03-30 09:05:14",24,"Female","Plaisance","The service was smooth and the staff were polite and well organised. I appreciate the good work."
"CS-2026-0194","2026-03-31 09:08:55",29,"Female","Grand Anse Mahe","The person serving me was impatient and spoke to me in a condescending, rude manner."
"CS-2026-0195","2026-03-31 13:45:42",35,"Male","Takamaka","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0196","2026-03-31 16:21:17",36,"Female","Saint Louis","The whole process was needlessly complicated and no one was willing to explain anything."
"CS-2026-0197","2026-04-01 10:48:53",40,"Female","Baie Sainte Anne","Every time I visit there is a new excuse for the delay. The inefficiency is beyond frustrating."
"CS-2026-0198","2026-04-02 08:53:28",24,"Male","Anse Boileau","The parking was a nightmare and inside it was chaos with no proper queue system. Badly managed."
"CS-2026-0199","2026-04-02 14:32:44",38,"Female","Baie Lazare","The staff gave me incorrect directions and I ended up wasting hours. Careless and unhelpful."
"CS-2026-0200","2026-04-02 10:24:24",32,"Male","Anse Etoile","No one answers the phone and the queue moves at a snail's pace. Frustrating and poorly organised."
"CS-2026-0201","2026-04-03 08:19:22",30,"Male","Bel Air","I called ten times and each time I was put on hold and then disconnected. Utterly frustrating."
"CS-2026-0202","2026-04-03 13:34:54",50,"Male","Bel Air","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0203","2026-04-06 09:54:39",46,"Male","English River","The officer lost patience with an elderly woman and was openly disrespectful. I was appalled."
"CS-2026-0204","2026-04-06 09:44:36",59,"Male","Anse aux Pins","The staff were extremely rude and dismissive when I asked a simple question. Very disappointed."
"CS-2026-0205","2026-04-06 08:13:57",18,"Female","Au Cap","The whole process was needlessly complicated and no one was willing to explain anything."
